serial_no,facility_name,provider_type,state,lga,city,address,phone,email,accreditation_hint,latitude,longitude,geocode_status,source_url,extracted_at,source_code
nhia_hcp_0447,Gwagwalada Clinic & Maternity,clinic,FCT,,Abuja,"Kutunku Along Frcn Road, Abuja",,,NHIA directory code FCT/0153/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0153/P
nhia_hcp_0448,Gwarinpa General Hospital,hospital,FCT,Abuja Municipal Area Council,Abuja,"Gwarinpa,Abuja, LIFE CAMP.",,,NHIA directory code FCT/0004/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0004/P
nhia_hcp_0449,Hammersmith Medical Centre,clinic,FCT,,Abuja,"FCT, ABUJA",,,NHIA directory code FCT/0718/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0718/P
nhia_hcp_0450,Healthland Hospital and Diagnostic Centre,lab,FCT,Kuje,Abuja,"Plot 12, Sauki Extension, Off FCMB, Kuje, F.C.T",,,NHIA directory code FCT/0678/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0678/P
nhia_hcp_0451,Holy Trinity Hospital Limited,hospital,FCT,Abuja Municipal Area Council,Abuja,"27, Oro Ago Crescent off Muhammadu Buhari Way Garki II, Abuja.",,,NHIA directory code FCT/0141/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0141/P
nhia_hcp_0452,Iduna Specialist Hospital,hospital,FCT,Abuja Municipal Area Council,Abuja,"Plot 1200 Ndjamena Crescent, Wuse Ii",,,NHIA directory code FCT/0128/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0128/P
nhia_hcp_0453,INEC Staff Clinic,clinic,FCT,Abuja Municipal Area Council,Abuja,"Area 10, Inec Office, Garki.",,,NHIA directory code FCT/0140/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0140/P
nhia_hcp_0454,Jalingo Medical Clinic,clinic,FCT,Abuja Municipal Area Council,Abuja,"Plot 53, Phase 2, Opp. Area A, Nyanya Abuja",,,NHIA directory code FCT/0012/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0012/P
nhia_hcp_0455,Jehova Adonai Eagle Hospital,hospital,FCT,Gwagwalada,Abuja,"314, Street B, Phase 1, Gwagwalada, F.C.T",,,NHIA directory code FCT/0679/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0679/P
nhia_hcp_0456,Jerab Hospitals,hospital,FCT,Gwagwalada,Abuja,"Plot 145, Kutunku Near Radio House, Gwagwalada, Abuja",,,NHIA directory code FCT/0154/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0154/P
nhia_hcp_0457,Jethrone Hospital and Diagnostic Centre,lab,FCT,,Abuja,"Plot 44, NYSC Road, Gbazango",,,NHIA directory code FCT/0604/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0604/P
nhia_hcp_0458,Jikwoyi Medical Centre,clinic,FCT,,Abuja,"3 Esu Jetta Road, Phase 1, Jikwoyi",,,NHIA directory code FCT/0596/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0596/P
